City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,Olutanga,7.3106,122.8464,83.28,73,81,5.77,PH,2021-09-27 17:54:19
109,Mamit,23.9333,92.4833,67.55,90,51,2.84,IN,2021-09-27 17:54:19
110,Lerum,57.7745,12.2697,60.98,83,90,5.99,SE,2021-09-27 17:54:20
111,Tessalit,20.1986,1.0114,96.82,10,0,8.61,ML,2021-09-27 17:54:20
112,Kaitangata,-46.2817,169.8464,39.92,85,17,6.26,NZ,2021-09-27 17:54:20
113,Payo,-3.7508,103.6372,73.15,97,100,2.13,ID,2021-09-27 17:54:21
114,Nikolskoye,59.7035,30.7861,49.89,97,9,3.98,RU,2021-09-27 17:54:17
115,Kulhudhuffushi,6.6221,73.07,82.0,76,100,18.34,MV,2021-09-27 17:54:21
116,Jalu,29.0331,21.5482,80.4,26,1,8.59,LY,2021-09-27 17:54:21
117,Ellisras,-23.6649,27.7443,74.07,20,19,6.17,ZA,2021-09-27 17:54:22
118,Jamestown,42.097,-79.2353,75.09,56,1,7.0,US,2021-09-27 17:50:23
119,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
120,Ushuaia,-54.8,-68.3,51.42,53,40,5.75,AR,2021-09-27 17:53:53
121,Ribeira Grande,38.5167,-28.7,72.0,73,75,12.66,PT,2021-09-27 17:54:17
122,Jamestown,42.097,-79.2353,75.09,56,1,7.0,US,2021-09-27 17:50:23
123,Gat,31.61,34.7642,76.82,67,34,6.55,IL,2021-09-27 17:54:22
124,Kotido,2.9806,34.1331,78.69,44,95,8.21,UG,2021-09-27 17:54:22
125,Geraldton,-28.7667,114.6,52.21,93,26,6.91,AU,2021-09-27 17:54:14
126,Albany,42.6001,-73.9662,75.74,70,91,6.11,US,2021-09-27 17:54:22
127,Mar Del Plata,-38.0023,-57.5575,50.13,67,0,7.0,AR,2021-09-27 17:53:15
128,San Felipe,10.3399,-68.7425,96.71,32,42,6.69,VE,2021-09-27 17:54:23
129,Paita,-5.0892,-81.1144,75.76,67,87,13.13,PE,2021-09-27 17:54:23
